,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Communality,Uniqueness
lpgoat,0.049517467,0.080513887,-0.067505624,0.011705547,0.006890405,0.300973366,-0.028781804,-0.081158323,-0.166503574,0.065158875,0.148143787,0.85184847
lptaro,-0.036940416,-0.105319222,-0.015521057,0.016437602,-0.076230561,0.042525586,-0.067574253,-0.015361194,0.4863184,0.048892691,0.187550891,0.812446987
lpchix,0.022948164,0.036346361,0.001628486,0.023400677,0.010627914,0.232582117,0.028658937,0.049701042,-0.006502701,-0.048470664,0.073470585,0.926530583
lppotol,-0.027595453,0.042706115,-0.133771846,0.333929549,0.078888796,0.013910959,-0.068424633,0.109695265,0.166628197,0.096477205,0.249402145,0.750600027
lpliver,-0.025174519,-0.055713494,-0.019865525,-0.021287338,0.028621902,0.679243975,-0.036288092,-0.008202947,0.061628132,0.010889016,0.41159833,0.588397958
lpbottle,0.00354175,-0.004673858,0.348308917,-0.069211365,0.018627242,0.018301809,0.083727184,-0.013787066,-0.06479502,-0.092298268,0.17972453,0.820273466
lpfish,0.046578313,0.221548444,-0.073694014,-0.03484749,0.088052393,-0.09510073,-0.070978346,0.006140716,0.106829108,-0.212366724,0.162297838,0.837699074
lpradish,0.029763228,-0.011734231,-0.022183333,-0.021984822,0.503438657,-0.047099629,0.02004218,-0.282010171,-0.05566808,0.030513547,0.388942275,0.611056197
lpdfish,0.01308861,-0.144377383,0.051098078,-0.006024706,0.017022699,0.007144176,0.110894434,0.072412136,0.204923861,0.140646741,0.088927647,0.911075674
lppump,0.000568534,0.018325599,0.002773356,0.209387939,-0.05810888,0.004805163,0.267548663,-0.04513179,-0.051345273,-0.040636522,0.120928754,0.879070172
lpprawn,-0.009706541,-0.016622837,-0.005180859,-0.037486464,-0.019812993,0.046426977,-0.046110099,-0.028343203,0.133819075,-0.052674746,0.016708121,0.983288804
lpbeans,-0.024638017,-0.059675614,0.589536201,0.046992953,0.050098534,-0.022236242,-0.177887894,0.104994225,0.017504001,0.018726377,0.298613041,0.701384713
lpeggs,-0.014640984,0.429787912,0.157329155,0.006370371,0.015663805,-0.013830554,0.03094055,0.068398297,-0.107386963,0.131820406,0.233179138,0.766822727
lptomato,-0.039393152,-0.003458274,0.372956382,-0.005229812,-0.078070948,0.007853754,-0.000189906,0.065715097,0.011245638,-0.076180495,0.138412538,0.861585047
lpmilk,-0.035345164,0.570734573,-0.03899756,0.108011627,-0.030234734,-0.066843741,-0.022759902,0.018843847,-0.169069995,0.07134072,0.248549484,0.751448707
lpeplant,-0.033035484,-0.011931887,0.07491031,0.046079346,0.679671996,0.06085673,0.001608036,0.189514575,-0.063434967,-0.102820977,0.485343807,0.514654918
lpcurd,-0.023669647,0.070477954,0.049511295,0.001209125,0.014001258,0.049716375,0.014616256,0.005048963,0.039913212,0.0104124,0.019056418,0.980932081
lpmango,0.019764691,0.142465228,-0.046161089,0.08512829,-0.060548656,0.007727173,-0.093116021,0.073293038,0.040713902,0.442249574,0.210414152,0.789584326
lppotato,0.061985324,0.029155093,0.184349317,-0.037725567,0.048502895,-0.019399937,0.138963534,0.57176257,-0.042227996,0.084783308,0.405434385,0.594563946
lppapaya,-0.01464516,0.228289525,0.029000012,-0.136995033,0.008397251,0.077172093,0.062216841,0.014745769,0.083663776,0.065599502,0.111553378,0.888442072
lpvegoil,1.024861006,-0.03274136,-0.021716866,0.006179072,-0.011802631,-0.015515413,-0.013099966,0.050875078,-0.034413738,0.013961419,0.995,0.004804407
lpbanana,-0.027294646,0.507882427,-0.105132116,-0.041241377,-0.001574502,0.00474448,0.003292273,-0.011620806,0.03381281,-0.018729888,0.243602013,0.756401003
lpdglv,0.015675251,0.093103702,0.046083324,-0.055911928,0.060415356,-0.027620132,0.072949303,-0.10131301,0.253108934,0.099707334,0.165516883,0.834482249
lpjfruit,0.014584393,0.006407275,0.054575456,0.536229803,-0.001680609,-0.026379474,-0.077244478,-0.058433571,-0.058933466,0.155214757,0.269416286,0.730583459
lpcabb,0.017193429,0.031077228,0.369970006,-0.02677841,0.000760038,-0.028761669,-0.149896877,0.000644441,-0.029804126,0.000364355,0.133541069,0.866460703
lpguava,0.009229366,0.016179584,0.007369984,0.395330803,0.002281982,0.004048227,-0.01005413,-0.059105374,0.003868855,-0.245407524,0.199686549,0.800313416
lpbitter,-0.014338478,0.016764241,-0.179818063,-0.087675924,0.01210837,-0.034876988,0.688860435,0.124240865,-0.071282477,-0.052210939,0.329533626,0.670461307
lpwflour,0.018842472,0.075646427,0.150058298,-0.015240701,-0.021434269,0.030619106,0.101589076,-0.039807507,0.059015549,-0.079168816,0.081276129,0.918715348
lppeanut,0.010771595,0.036802064,0.090078328,0.151250492,0.015566547,0.035994671,-0.007593392,-0.051872384,0.13079357,-0.006048859,0.0682615,0.931739117
lppulses,0.001738612,0.211046617,-0.058961025,0.022390987,-0.052142708,0.007836233,0.035813746,-0.032009586,0.14838702,-0.000370489,0.118440038,0.881560813
lpokra,0.005970439,-0.040603425,0.031224067,0.299821792,0.028547768,-0.010206042,0.09819805,0.011049025,0.054239403,0.192565562,0.167806173,0.832199652
lpopulse,0.141918915,0.115710635,0.044348616,-0.000663458,-0.019500123,0.048640407,-0.033656421,-0.024938249,0.114006347,-0.046295396,0.088732732,0.911265007